name,artists,genre,emotion_final_adjusted
!,['HELLYEAH'],groove metal,Üzüntü
!!,Yxngxr1,,Aşk
!!Noble Stabbings!!,Dillinger Four,punk,Üzüntü
!I'll Be Back!,Rilès,french rap,Enerji
!Lost!,Rilès,french rap,Aşk
!Que Vida! - Mono Version,['Love'],psychedelic rock,Üzüntü
!liaF cipE,One Morning Left,metalcore,Üzüntü
""" """,['Breadwinner'],math rock,Üzüntü
""" R.I.P """,Ram-Zet,avant-garde,Aşk
"""...Because All Suffering Is Sweet to Me...""",['Envy On The Coast'],post-hardcore,Üzüntü
"""40""",['U2'],rock,Mutluluk
"""40"" - Live",['U2'],rock,Üzüntü
"""40"" - Remastered 2008",['U2'],rock,Üzüntü
"""40"" - Remastered 2008",['U2'],rock,Üzüntü
"""40"" - Songs Of Surrender",['U2'],rock,Aşk
"""42"" - From SR3MM",Rae Sremmurd,,Üzüntü
"""45""",['The Gaslight Anthem'],,Aşk
"""99""",['Barns Courtney'],,Mutluluk
"""A Flair for the Dramatic...""","['Beth Malone', 'Roberta Colindrez', 'Emily Skeggs', 'Michael Cerveris', 'Sydney Lucas']",musicals,Üzüntü
"""A Lovely Night""",Laura Osnes,musicals,Aşk
"""A virgin"" - Act One",Catherine Zeta-Jones,musicals,Aşk
"""A"" You're Adorable",Brian Hyland,,Mutluluk
"""A"" You're Adorable",['Brian Hyland'],,Mutluluk
"""A"" Your Adorable",Diana Panton,vocal jazz,Aşk
"""Aiight""",BJ The Chicago Kid,,Üzüntü
"""Are We Taping Now?""",Janis Joplin,classic rock,Aşk
"""Are You Running Away from Me?""","['Judy Kuhn', 'Ryan Silverman']",musicals,Aşk
"""B"" Movie Box Car Blues - Live","['The Blues Brothers', 'Joe Gastwirt']",blues,Aşk
"""BOP""",['CJ'],dembow,Enerji
"""BabyRock"" Rock",['Clorofila'],mexican indie,Enerji
"""Beer Beer, Truck Truck""",George Birge,country,Mutluluk
"""Blind""",['SOAK'],,Üzüntü
"""Blue Flame"" (Interlude)",Big K.R.I.T.,southern hip hop,Enerji
"""Bluejays and Cardinals""",The Mountain Goats,folk punk,Aşk
"""Boom""",MY FIRST STORY,j-pop,Üzüntü
"""Btw, That Untitled Song On Your Mixtape Was For You. I Wrote It When I Missed You.""",Suis La Lune,screamo,Üzüntü
"""Btw, That Untitled Song on Your Mixtape Was for You. I Wrote It When I Missed You.""",Suis La Lune,screamo,Üzüntü
"""C"" IS FOR COOKIE",Little Apple Band,,Enerji
"""C"" Is For Cookie",['Little Apple Band'],,Enerji
"""C"" Is for Cookie",Little Apple Band,,Enerji
"""C"" is for Cookie",['Sesame Street'],children's music,Enerji
"""C"" is for Cookie",Little Apple Band,,Enerji
"""Cassius"" Love Vs. ""Sonny"" Wilson (Mono)",['The Beach Boys'],baroque pop,Aşk
"""Cassius"" Love Vs. ""Sonny"" Wilson - Remastered 2001",['The Beach Boys'],baroque pop,Aşk
"""Clueless in New York...""","['Beth Malone', 'Sydney Lucas', 'Michael Cerveris']",musicals,Üzüntü
"""Contemplate This on the Tree of Woe.""",Dillinger Four,punk,Üzüntü
"""DEVILS NEVER CRY""(スタッフロール)",['Capcom Sound Team'],japanese vgm,Üzüntü
"""Dearly Departed"" - Live from Spotify Sxsw 2014 (feat. Esme Patterson)",['Shakey Graves'],indie folk,Aşk
"""E"" Train",['Jonny Lang'],blues,Mutluluk
"""Either He's Dead or My Watch Has Stopped""",Onsind,folk punk,Üzüntü
"""Eternal""",['Bone Thugs-N-Harmony'],gangster rap,Aşk
